Trait Type,Trait Value,Count,Percentage,Rarity Tier
Hair,Pink Double Buns,27,0.27%,Legendary
Hair,Peach Geisha,28,0.28%,Legendary
Hair,Luminous Teddy Bear Curls,29,0.29%,Legendary
Hair,Silver Flip Hair,29,0.29%,Legendary
Hair,Golden Curly Hair,30,0.30%,Legendary
Hair,Unicorn Straight Hair,30,0.30%,Legendary
Hair,Black Outward Short Hair,31,0.31%,Legendary
Hair,Golden Fishbone Braid,31,0.31%,Legendary
Hair,Star Hair Pin,31,0.31%,Legendary
Hair,Brown Flowing Short Hair,34,0.34%,Legendary
Hair,Lilac Wool Roll Hair,34,0.34%,Legendary
Hair,Pink Giant Bow,35,0.35%,Legendary
Hair,Rose Gold Straight Hair,35,0.35%,Legendary
Hair,Ginger Loose Updo,36,0.36%,Legendary
Hair,Pink Afro Hair,37,0.37%,Legendary
Hair,Black Teddy Bear Curls,38,0.38%,Legendary
Hair,Magenta Updo,38,0.38%,Legendary
Hair,Pink Updo,40,0.40%,Legendary
Hair,Black Hair with Diamond Head Chain,41,0.41%,Legendary
Hair,Magenta Centre Parting,42,0.42%,Legendary
Hair,Pink Box Braids,42,0.42%,Legendary
Hair,Luminous Cornrow Braids,45,0.45%,Legendary
Hair,Unicorn Flowing Long Hair,45,0.45%,Legendary
Hair,Orange Afro Hair,46,0.46%,Legendary
Hair,Golden Curly Long Hair,47,0.47%,Legendary
Hair,Peach Wool Roll Hair,47,0.47%,Legendary
Hair,Lilac Ponytail,49,0.49%,Legendary
Hair,Brown Hair with Diamond Head Chain,50,0.50%,Legendary
Hair,Mint Ponytail,53,0.53%,Epic
Hair,Peach Flowing Long Hair,54,0.54%,Epic
Hair,Black Flip Hair,55,0.55%,Epic
Hair,Magenta Hair with Pink Headscarf,56,0.56%,Epic
Hair,Sky Blue Bob,56,0.56%,Epic
Hair,Pink Hair with Black Hairband,57,0.57%,Epic
Hair,Silver Teddy Bear Curls,58,0.58%,Epic
Hair,Black Updo,61,0.61%,Epic
Hair,Sky Blue Straight Hair,63,0.63%,Epic
Hair,Golden Loose Updo,66,0.66%,Epic
Hair,Golden Half Up,67,0.67%,Epic
Hair,Brown Updo,68,0.68%,Epic
Hair,Brown Fishbone Braid,71,0.71%,Epic
Hair,Brown Slightly Curled Hair,71,0.71%,Epic
Hair,Black Two Afro Puffs,77,0.77%,Epic
Hair,Luminous Outward Short Hair,77,0.77%,Epic
Hair,Silver Hair with Pink Headscarf,81,0.81%,Epic
Hair,Golden Geisha,82,0.82%,Epic
Hair,Lilac Hair with Iridescent Hairband,83,0.83%,Epic
Hair,Black Centre Parting,84,0.84%,Epic
Hair,Silver Hair with Golden Headscarf,88,0.88%,Epic
Hair,Pink Ponytail,92,0.92%,Epic
Hair,Silver Loose Updo,94,0.94%,Epic
Hair,Sky Blue Hair with Golden Headscarf,98,0.98%,Epic
Hair,Black Hair with Golden Headscarf,103,1.03%,Epic
Hair,Aquamarine Hair with Platinum Hairband,104,1.04%,Epic
Hair,Gold Hair with White Diamond Headscarf,104,1.04%,Epic
Hair,Silver Updo,104,1.04%,Epic
Hair,Golden Straight Hair,110,1.10%,Epic
Hair,Luminous Geisha,110,1.10%,Epic
Hair,Golden Centre Parting,116,1.16%,Epic
Hair,Black Geisha,117,1.17%,Epic
Hair,Gold Wool Roll Hair,126,1.26%,Epic
Hair,Gold Flowing Long Hair,135,1.35%,Epic
Hair,Gold Double Buns,137,1.37%,Epic
Hair,Golden Wavy Hair,147,1.47%,Epic
Hair,Black Box Braids,160,1.60%,Epic
Hair,Black Wool Roll Hair,161,1.61%,Epic
Hair,Golden Ponytail,161,1.61%,Epic
Hair,Brown Hair with White Headscarf,166,1.66%,Epic
Hair,Luminous Flip Hair,172,1.72%,Epic
Hair,Luminous Two Afro Puffs,176,1.76%,Epic
Hair,Black Ponytail,181,1.81%,Epic
Hair,Black Straight Hair,181,1.81%,Epic
Hair,Gold Hair with Iridescent Hairband,184,1.84%,Epic
Hair,Brown Wool Roll Hair,189,1.89%,Epic
Hair,Peach Hair with Iridescent Hairband,195,1.95%,Epic
Hair,Gold Hair with Black Hairband,203,2.03%,Rare
Hair,Brown Flowing Long Hair,215,2.15%,Rare
Hair,Poker Hair Pin,217,2.17%,Rare
Hair,Black Double Buns,220,2.20%,Rare
Hair,Luminous Flowing Short Hair,224,2.24%,Rare
Hair,Luminous Double Buns,255,2.55%,Rare
Hair,Luminous Loose Updo,275,2.75%,Rare
Hair,Black Afro Hair,307,3.07%,Rare
Hair,Silver Straight Hair,310,3.10%,Rare
Hair,Brown Loose Updo,441,4.41%,Rare
Hair,Silver Bob,537,5.37%,Common
Hand Prep,Crypto Pizza,9,0.09%,Mythic
Hand Prep,Suspended Diamond,28,0.28%,Legendary
Hand Prep,Pizza,35,0.35%,Legendary
Hand Prep,VR Controller,51,0.51%,Epic
Hand Prep,French Fries,71,0.71%,Epic
Hand Prep,VR Steering Wheel,105,1.05%,Epic
Hand Prep,VR Move Motion Controller,133,1.33%,Epic
Hand Prep,Yeah with Classical Jewelry,135,1.35%,Epic
Hand Prep,Pink Boxing Gloves,166,1.66%,Epic
Hand Prep,Pineapple,197,1.97%,Epic
Hand Prep,Iridescent Boxing Gloves,205,2.05%,Rare
Hand Prep,Coconut,281,2.81%,Rare
Hand Prep,Floating Diamond,282,2.82%,Rare
Hand Prep,Yeah with Stylish Jewelry,352,3.52%,Rare
Hat,Aquamarine Devil Cap,1,0.01%,Mythic
Hat,FVFC Eats Hat,1,0.01%,Mythic
Hat,Aquamarine Devil Cap with Veil,3,0.03%,Mythic
Hat,Devil Cap with Veil,4,0.04%,Mythic
Hat,Pink Leopard Print Hat with Veil,4,0.04%,Mythic
Hat,Black Wide Brim Hat,5,0.05%,Mythic
Hat,Leopard Print Hat with Veil,7,0.07%,Mythic
Hat,Lilac Cowboy Hat with Pearls,9,0.09%,Mythic
Hat,Rose Jacket Hat,9,0.09%,Mythic
Hat,Black Cowboy Hat with Pearls,10,0.10%,Mythic
Hat,Iridescent Devil Cap with Veil,13,0.13%,Legendary
Hat,Golden Headscarf with Bow,16,0.16%,Legendary
Hat,Black Shiny Newsboy Cap,17,0.17%,Legendary
Hat,Golden Feather,26,0.26%,Legendary
Hat,Green Cowboy Hat with Pearls,27,0.27%,Legendary
Hat,Flower Crown,28,0.28%,Legendary
Hat,Black Cowboy Hat,32,0.32%,Legendary
Hat,Iridescent Devil Cap,37,0.37%,Legendary
Hat,Lilac Cowboy Hat with Flower Crown,37,0.37%,Legendary
Hat,Graduation Cap,49,0.49%,Legendary
Hat,Heart Jacket Hat,52,0.52%,Epic
Hat,Pink Leopard Print Hat,59,0.59%,Epic
Hat,Iridescent Straw Hat,64,0.64%,Epic
Hat,Devil Cap,67,0.67%,Epic
Hat,Leopard Print Hat,77,0.77%,Epic
Hat,Straw Hat,83,0.83%,Epic
Hat,Tennis Cap,114,1.14%,Epic
Hat,White Tennis Cap,122,1.22%,Epic
Hat,Pink Tennis Cap,136,1.36%,Epic
Hat,Cat Ear,163,1.63%,Epic
Hat,Bamboo Hat,164,1.64%,Epic
Hat,Rose Gold Headphone,352,3.52%,Rare
Hat,Iridescent Tennis Cap,440,4.40%,Rare
Head Accessories,Crypto Meme Books,28,0.28%,Legendary
Head Accessories,FVFC Identity,32,0.32%,Legendary
Head Accessories,NFT Meme Books,34,0.34%,Legendary
Head Accessories,Star Crown,40,0.40%,Legendary
Head Accessories,Dizzy,47,0.47%,Legendary
Head Accessories,Halo,57,0.57%,Epic
Left Hand,Lipstick Blue,5,0.05%,Mythic
Left Hand,Bubble Tea Infusion,10,0.10%,Mythic
Left Hand,Crypto Bubble Tea Infusion,11,0.11%,Legendary
Left Hand,Iridescent Crypto Bubble Tea Infusion,11,0.11%,Legendary
Left Hand,Lipstick Golden,11,0.11%,Legendary
Left Hand,Lipstick Black,12,0.12%,Legendary
Left Hand,Lipstick Olive,17,0.17%,Legendary
Left Hand,Sky Bottle,20,0.20%,Legendary
Left Hand,Lipstick Orange,33,0.33%,Legendary
Left Hand,Heart Phone,44,0.44%,Legendary
Left Hand,Blueberry Lollipop,47,0.47%,Legendary
Left Hand,Ethereum Phone,48,0.48%,Legendary
Left Hand,Orange Lollipop,48,0.48%,Legendary
Left Hand,Bitcoin Phone,53,0.53%,Epic
Left Hand,Butterfly Phone,54,0.54%,Epic
Left Hand,Lipstick Cherry,54,0.54%,Epic
Left Hand,Lipstick Red,59,0.59%,Epic
Left Hand,Iridescent Phone,61,0.61%,Epic
Left Hand,Grape Lollipop,65,0.65%,Epic
Left Hand,Iridescent Bubble Tea Infusion,65,0.65%,Epic
Left Hand,Guitar,74,0.74%,Epic
Left Hand,Iridescent Bass,75,0.75%,Epic
Left Hand,Cloud Bottle,88,0.88%,Epic
Left Hand,Lipstick Purple,88,0.88%,Epic
Left Hand,Money,99,0.99%,Epic
Left Hand,Hovering Diamond,125,1.25%,Epic
Left Hand,Huge Heart Phone,141,1.41%,Epic
Left Hand,Iridescent Water Bottle,145,1.45%,Epic
Left Hand,Dog,146,1.46%,Epic
Left Hand,Macchiato,183,1.83%,Epic
Left Hand,Finger Pointing,228,2.28%,Rare
Left Hand,Coffee Cup,246,2.46%,Rare
Left Hand,Diamond Hand,260,2.60%,Rare
Left Hand,Shiny Bass,287,2.87%,Rare
Left Hand,Cat,294,2.94%,Rare
Left Hand,Iridescent Coffee Cup,301,3.01%,Rare
Left Hand,Penguin,312,3.12%,Rare
Left Hand,Shiny Guitar,337,3.37%,Rare
Mouth,Kiss Blue with Hearts,1,0.01%,Mythic
Mouth,Kiss Cherry with Hearts,1,0.01%,Mythic
Mouth,Kiss Mint with Bubble Gum,1,0.01%,Mythic
Mouth,Kiss Mint with Hearts,1,0.01%,Mythic
Mouth,Kiss Olive with Hearts,1,0.01%,Mythic
Mouth,Kiss Taupe with Hearts,1,0.01%,Mythic
Mouth,Smile Sky Blue,1,0.01%,Mythic
Mouth,Grin Orange,2,0.02%,Mythic
Mouth,Kiss Sky Blue with Hearts,2,0.02%,Mythic
Mouth,Smile Golden,2,0.02%,Mythic
Mouth,Grin Blue,3,0.03%,Mythic
Mouth,Kiss Black with Hearts,3,0.03%,Mythic
Mouth,Kiss Coral with Hearts,3,0.03%,Mythic
Mouth,Whistle Mint,4,0.04%,Mythic
Mouth,Whistle Sky Blue,4,0.04%,Mythic
Mouth,Kiss Sky Blue with Bubble Gum,5,0.05%,Mythic
Mouth,Kiss Golden with Hearts,6,0.06%,Mythic
Mouth,Kiss Mint,6,0.06%,Mythic
Mouth,Kiss Purple with Hearts,6,0.06%,Mythic
Mouth,Smile Cherry,6,0.06%,Mythic
Mouth,Whistle Green,6,0.06%,Mythic
Mouth,Duck Blue,7,0.07%,Mythic
Mouth,Duck Olive,7,0.07%,Mythic
Mouth,Kiss Light Orange with Hearts,8,0.08%,Mythic
Mouth,Kiss Silver with Hearts,8,0.08%,Mythic
Mouth,Kiss Pink with Bubble Gum,9,0.09%,Mythic
Mouth,Kiss Red with Hearts,9,0.09%,Mythic
Mouth,Kiss Olive with Bubble Gum,10,0.10%,Mythic
Mouth,Kiss Sky Blue,10,0.10%,Mythic
Mouth,Whistle Cherry,10,0.10%,Mythic
Mouth,Whistle Pink,10,0.10%,Mythic
Mouth,Whistle Blue,11,0.11%,Legendary
Mouth,Kiss Black with Bubble Gum,12,0.12%,Legendary
Mouth,Kiss Cherry with Bubble Gum,12,0.12%,Legendary
Mouth,Kiss Golden with Bubble Gum,12,0.12%,Legendary
Mouth,Kiss Green,12,0.12%,Legendary
Mouth,Sneer,12,0.12%,Legendary
Mouth,Whistle Olive,12,0.12%,Legendary
Mouth,Kiss Pink,13,0.13%,Legendary
Mouth,Smile Black,15,0.15%,Legendary
Mouth,Whistle Black,15,0.15%,Legendary
Mouth,Grin Sky Blue,16,0.16%,Legendary
Mouth,Kiss Silver with Bubble Gum,16,0.16%,Legendary
Mouth,Smile Nude,16,0.16%,Legendary
Mouth,Kiss Blue with Bubble Gum,17,0.17%,Legendary
Mouth,LOL,17,0.17%,Legendary
Mouth,Smile Blue,17,0.17%,Legendary
Mouth,Smile Olive,18,0.18%,Legendary
Mouth,Kiss Light Orange with Bubble Gum,19,0.19%,Legendary
Mouth,Whistle Orange,19,0.19%,Legendary
Mouth,Smile Mint,23,0.23%,Legendary
Mouth,Whistle Golden,24,0.24%,Legendary
Mouth,Whistle Coral,25,0.25%,Legendary
Mouth,Sad Cherry,26,0.26%,Legendary
Mouth,Whistle Silver,26,0.26%,Legendary
Mouth,Duck Sky Blue,27,0.27%,Legendary
Mouth,Smile Light Orange,27,0.27%,Legendary
Mouth,Kiss Coral with Bubble Gum,28,0.28%,Legendary
Mouth,Smile Peach,28,0.28%,Legendary
Mouth,Duck Orange,31,0.31%,Legendary
Mouth,Sad Red,32,0.32%,Legendary
Mouth,Smile Silver,33,0.33%,Legendary
Mouth,Kiss Olive,38,0.38%,Legendary
Mouth,Kiss Blue,39,0.39%,Legendary
Mouth,Smile Coral,40,0.40%,Legendary
Mouth,Kiss Silver,41,0.41%,Legendary
Mouth,Luminous Smile,41,0.41%,Legendary
Mouth,Luminous Sneer,41,0.41%,Legendary
Mouth,Smile Purple,41,0.41%,Legendary
Mouth,Duck Silver,42,0.42%,Legendary
Mouth,Grin Green,43,0.43%,Legendary
Mouth,Grin Olive,44,0.44%,Legendary
Mouth,Duck Pink,47,0.47%,Legendary
Mouth,Kiss Red with Bubble Gum,47,0.47%,Legendary
Mouth,Duck Golden,50,0.50%,Legendary
Mouth,Kiss Golden,50,0.50%,Legendary
Mouth,Kiss Taupe with Bubble Gum,50,0.50%,Legendary
Mouth,Smile Orange,50,0.50%,Legendary
Mouth,Grin Golden,51,0.51%,Epic
Mouth,Kiss Purple with Bubble Gum,52,0.52%,Epic
Mouth,Duck Black,53,0.53%,Epic
Mouth,Kiss Cherry,57,0.57%,Epic
Mouth,Grin Cherry,59,0.59%,Epic
Mouth,Kiss Black,59,0.59%,Epic
Mouth,Whistle Light Orange,62,0.62%,Epic
Mouth,Kiss Coral,64,0.64%,Epic
Mouth,Smile Red,65,0.65%,Epic
Mouth,Whistle Purple,65,0.65%,Epic
Mouth,Kiss Orange,74,0.74%,Epic
Mouth,Smile Taupe,77,0.77%,Epic
Mouth,Grin Silver,79,0.79%,Epic
Mouth,Duck Light Orange,81,0.81%,Epic
Mouth,Laugh Shiny Sky Blue,81,0.81%,Epic
Mouth,Duck Mint,84,0.84%,Epic
Mouth,Kiss Light Orange,94,0.94%,Epic
Mouth,Whistle Taupe,94,0.94%,Epic
Mouth,Prpr Cherry,96,0.96%,Epic
Mouth,Luminous Kiss,98,0.98%,Epic
Mouth,Grin Light Orange,105,1.05%,Epic
Mouth,Duck Purple,108,1.08%,Epic
Mouth,Laugh Sky Blue,108,1.08%,Epic
Mouth,Smirk,118,1.18%,Epic
Mouth,Duck Cherry,127,1.27%,Epic
Mouth,Whistle Red,140,1.40%,Epic
Mouth,Laugh Shiny Cherry,152,1.52%,Epic
Mouth,Annoyed,163,1.63%,Epic
Mouth,Luminous Grin,192,1.92%,Epic
Mouth,Prpr Red,203,2.03%,Rare
Mouth,Grin Purple,204,2.04%,Rare
Mouth,Luminous Prpr,204,2.04%,Rare
Mouth,Grin Red,209,2.09%,Rare
Mouth,Laugh Shiny Blue,211,2.11%,Rare
Mouth,Duck Red,248,2.48%,Rare
Mouth,Luminous Duck,251,2.51%,Rare
Mouth,Laugh Cherry,252,2.52%,Rare
Mouth,Kiss Purple,290,2.90%,Rare
Mouth,Kiss Taupe,297,2.97%,Rare
Mouth,Laugh Shiny Red,299,2.99%,Rare
Mouth,Kiss Red,456,4.56%,Rare
Mouth,Luminous Open Mouth,561,5.61%,Common
Mouth,Open Mouth,2189,21.89%,Common
Necklace,Golden Chain,2,0.02%,Mythic
Necklace,Pink Leopard Choker,4,0.04%,Mythic
Necklace,Golden Leopard Choker,5,0.05%,Mythic
Necklace,Layered Chains,5,0.05%,Mythic
Necklace,Layered Butterfly Collar,7,0.07%,Mythic
Necklace,Emeralds,22,0.22%,Legendary
Necklace,Floral Diamonds,22,0.22%,Legendary
Necklace,Layered Cube Diamond Choker,26,0.26%,Legendary
Necklace,Layered Pearls,34,0.34%,Legendary
Necklace,Diamond Long Necklace,40,0.40%,Legendary
Necklace,Ruby Lucky Clover,45,0.45%,Legendary
Necklace,Black Lucky Clover,47,0.47%,Legendary
Necklace,Diamond Stars,62,0.62%,Epic
Necklace,Diamond Snake,79,0.79%,Epic
Necklace,Crypto Long Necklace,83,0.83%,Epic
Necklace,777 Tattoo,84,0.84%,Epic
Necklace,FVFC Tattoo,97,0.97%,Epic
Necklace,Butterfly Diamond Choker,99,0.99%,Epic
Necklace,Diamond Choker,132,1.32%,Epic
Necklace,Colored Diamond Choker with Emerald,141,1.41%,Epic
Necklace,Cube Diamond Choker,147,1.47%,Epic
Necklace,Colored Diamond Choker,214,2.14%,Rare
Necklace,Star Pearls,261,2.61%,Rare
Necklace,Crypto,335,3.35%,Rare
Right Hand,Matcha Donut,1,0.01%,Mythic
Right Hand,Money Surfboard,6,0.06%,Mythic
Right Hand,HODL Surfboard,7,0.07%,Mythic
Right Hand,Mermaid Ice Cream,10,0.10%,Mythic
Right Hand,Star Tennis Racket,10,0.10%,Mythic
Right Hand,Art Deco Surfboard,11,0.11%,Legendary
Right Hand,Twist Checkerboard Surfboard,12,0.12%,Legendary
Right Hand,Blueberry Donut,13,0.13%,Legendary
Right Hand,Chocolate Donut,13,0.13%,Legendary
Right Hand,Crypto Surfboard,14,0.14%,Legendary
Right Hand,Golden Rose,18,0.18%,Legendary
Right Hand,Finger Snapping with Hearts,20,0.20%,Legendary
Right Hand,Peach Mermaid Ice Cream,20,0.20%,Legendary
Right Hand,F Tennis Racket,23,0.23%,Legendary
Right Hand,Finger Snapping with Ethereum and Jewelry,26,0.26%,Legendary
Right Hand,Diamond Tennis Racket,28,0.28%,Legendary
Right Hand,Energy Surfboard,28,0.28%,Legendary
Right Hand,Graffiti Skateboard,28,0.28%,Legendary
Right Hand,Iridescent Cocktail with Flame,31,0.31%,Legendary
Right Hand,Art Deco Skateboard,32,0.32%,Legendary
Right Hand,Iridescent Cocktail with Blue Flame and Jewelry,33,0.33%,Legendary
Right Hand,Ice Cream,35,0.35%,Legendary
Right Hand,Iridescent Cocktail with Blue Flame,36,0.36%,Legendary
Right Hand,Bitcoin Ice Cream,38,0.38%,Legendary
Right Hand,Heart Tennis Racket,38,0.38%,Legendary
Right Hand,White Chocolate Donut,39,0.39%,Legendary
Right Hand,Donut,40,0.40%,Legendary
Right Hand,Iridescent Cocktail with Flame and Jewelry,42,0.42%,Legendary
Right Hand,Iridescent Cocktail,43,0.43%,Legendary
Right Hand,Iridescent Surfboard,43,0.43%,Legendary
Right Hand,Tropical Cocktail,43,0.43%,Legendary
Right Hand,Finger Snapping,45,0.45%,Legendary
Right Hand,Giant Lollipop,46,0.46%,Legendary
Right Hand,Pink Donut,48,0.48%,Legendary
Right Hand,Ethereum Ice Cream,54,0.54%,Epic
Right Hand,Martini,57,0.57%,Epic
Right Hand,Iridescent Skateboard,58,0.58%,Epic
Right Hand,Iridescent Champagne,61,0.61%,Epic
Right Hand,Champagne with Expression,65,0.65%,Epic
Right Hand,Rose,65,0.65%,Epic
Right Hand,Champagne with Gold Expression,66,0.66%,Epic
Right Hand,Wine Glass,67,0.67%,Epic
Right Hand,Tropical Cocktail with Jewelry,71,0.71%,Epic
Right Hand,Golden Microphone,75,0.75%,Epic
Right Hand,Iridescent Cocktail with Jewelry,75,0.75%,Epic
Right Hand,Peach Umbrella,83,0.83%,Epic
Right Hand,Whiskey with Jewelry,83,0.83%,Epic
Right Hand,Cocktail with Jewelry,86,0.86%,Epic
Right Hand,Champagne with Gold Expression and Jewelry,87,0.87%,Epic
Right Hand,Microphone,87,0.87%,Epic
Right Hand,Champagne,89,0.89%,Epic
Right Hand,Taro Bubble Tea,100,1.00%,Epic
Right Hand,Cocktail,103,1.03%,Epic
Right Hand,Bubble Tea,104,1.04%,Epic
Right Hand,Iridescent Fan,105,1.05%,Epic
Right Hand,Matcha Bubble Tea,106,1.06%,Epic
Right Hand,Champagne with Expression and Jewelry,109,1.09%,Epic
Right Hand,Finger Snapping with Bitcoin and Jewelry,109,1.09%,Epic
Right Hand,Finger Heart,110,1.10%,Epic
Right Hand,Martini with Jewelry,113,1.13%,Epic
Right Hand,Lightsaber,114,1.14%,Epic
Right Hand,Milky Way Umbrella,118,1.18%,Epic
Right Hand,Fan,120,1.20%,Epic
Right Hand,Iridescent Champagne with Jewelry,120,1.20%,Epic
Right Hand,Iridescent Cigarette,127,1.27%,Epic
Right Hand,Finger Snapping with Ethereum,131,1.31%,Epic
Right Hand,Finger Pointing,134,1.34%,Epic
Right Hand,Whiskey,141,1.41%,Epic
Right Hand,Iridescent Wine Glass with Jewelry,156,1.56%,Epic
Right Hand,Finger Snapping with Jewelry,175,1.75%,Epic
Right Hand,Finger Snapping with Bitcoin,187,1.87%,Epic
Right Hand,Iridescent Wine Glass,192,1.92%,Epic
Right Hand,Balloons,194,1.94%,Epic
Skin,Bronze,595,5.95%,Common
Skin,Luminous,1388,13.88%,Common
Skin,Chocolate,2194,21.94%,Common
Skin,Ivory,5823,58.23%,Common
